certNumber,streetName,streetNumber,sector,yearBuilt,heightRegime,apartmentCount,area,yearExpertise,expertName,observations,category

1.,Strada ACADEMIEI,1,3,1905,S+P+2E,0,1.385,1993,Ion VARSA,,Rs1
2.,"Strada ACADEMIEI
 (imobil cu destinația de birouri – PRIMĂRIA MUNICIPIULUI BUCUREŞTI)",3 - 5,3,1906,2S+P+3E,0,7.162,2012,Mihai URSĂCHESCU,,Rs1
3.,Strada ACADEMIEI,15,1,1890,S+P+3E,10,1.240,1995,Mircea IEREMIA,,Rs1
4.,"Strada ACADEMIEI
 (corp A+B, Hotelul “MUNTENIA”)",19 - 21,1,1935,"S+P+Mz+5E
 S+P+4E",0,1.074,2005,Ion NEGESCU,Încadrare în clasă de risc seismic în anul 2005,Rs1
5.,Strada ALEXANDRU BELDIMAN,1,5,1940,S+P+9E,82,9.062,1993,Radu DIAMANDOPOL,,Rs1
6.,Bulevardul ALEXANDRU IOAN CUZA,9,1,1929,S+P+2E+Ma,6,915,1993,Eugeniu IORDACHESCU,,Rs1
7.,Piata ALEXANDRU LAHOVARI,5A,1,1935,P+7E,18,2.955,1997,Stelian PICULESCU,,Rs1
8.,Strada ALEXANDRU XENOPOL,3,1,1940,S+P+8E,37,4.259,1994,Gabriel NICULESCU,,Rs1
9.,Strada ARCULUI,4,2,1932,S+P+7E,26,929,2000,Niculae NEER,,Rs1
10.,Strada ARMENEASCĂ,17A,2,1932,S+P+3E+Ma,11,1.438,1995,Armand NEFIAN,,Rs1
11.,"Strada ARMENEASCĂ Strada ARMENEASCA
 Strada SEMILUNEI","28
 28A
 8",2,1935,"P+5E+Ma P+5E
 P+5E",20,3.945,1999,"Mariana STOENESCU Dinu CIOBOTARIU
 Dinu CIOBOTARIU",,Rs1
12.,Strada AUREL VLAICU,55,2,1940,S+P+4E,11,990,1993,Dan STANCIULESCU,,Rs1
13.,Strada BAIA DE FIER,1,3,1885,S+P+1E+Ma,3,448,1993,Laurenţiu SPOIALA,,Rs1
14.,Strada BAIA DE FIER,1A,3,1883,S+P+1E+Ma,4,547,1993,Laurenţiu SPOIALA,,Rs1
15.,Strada BAIA DE FIER,4,3,1922,S+P+2E,3,156,1995,Laurenţiu SPOIALA,,Rs1
16.,Strada BAIA DE FIER,6,3,1930,S+P+2E+Pod,11,971,1993,Laurenţiu SPOIALA,,Rs1
17.,Strada BATIŞTE,5,2,1933,2S+P+10E,26,3.065,1993,Emilian TITARU,,Rs1
18.,"Strada BATIŞTE
 (Sediul “ARCUB”; Restaurantul “BUREBISTA”)",14,2,1932 - 1934,2S+Ds+P+3E+Pod,0,3.526,2015,Tudor ANDRIŢOIU,,Rs1
19.,Strada BALTAGULUI,17,5,1960,P+2E,12,915,2018,Bogdan GULEAC,"Reîncadrare în clasă de risc seismic în anul 2018
 (imobilul a fost încadrat iniţial în RsII de expertul tehnic atestat M.D.R.A.P. Dan
 POPESCU)",Rs1
20.,"Strada BĂNIEI
 (fosta Strada SFÂNTUL GHEORGHE NOU)",1,3,1935,S+P+5E+Ma,10,1.908,2014,Niculae TEODOR,Încadrare în clasă de risc seismic în anul 2014,Rs1
21.,Strada BĂRĂTIEI,29,3,1910,S+P+2E+Ma,3,154,1993,Laurenţiu SPOIALA,,Rs1
22.,Strada BĂRĂTIEI,37,3,1900,S+P+1E+Ma,5,2.322,1993,Mircea CONDRUT,,Rs1
23.,Strada BĂRĂTIEI,39,3,1870,S+P+1E,2,459,1993,Mircea CONDRUT,,Rs1
24.,Strada BĂRĂTIEI,41,3,1885,S+P+1E,3,666,1993,Ion LUNGU,,Rs1
25.,Strada BĂRĂTIEI,42B,3,1920,S+P+2E+Pod,1,266,1993,Laurenţiu SPOIALA,,Rs1
26.,Strada BĂRĂŢIEI,44,3,1935,S+P+Mz+2E+Ma,7,596,1993,Laurenţiu SPOIALA,,Rs1
27.,Strada BĂRĂTIEI,50,3,1824,S+P+1E+Pod,1,363,1993,Laurenţiu SPOIALA,,Rs1
28.,"Strada BIBESCU VODĂ
 (corp A)",24,4,1929,S+P+2E+Ma,4,1.470,1994,Traian VINTILA. Liviu POPP,,Rs1
29.,Strada BISERICA AMZEI,8,1,1935,P+4E+Ma,20,2.081,1997,Iorgu NICULA,,Rs1
30.,Strada BISERICA ENEI,14,1,1936,S+P+5E,26,2.849,1993,Eugeniu IORDACHESCU,,Rs1
31.,Strada BLĂNARI,2,3,1865,S+P+2E+Ma,0,758,2012,Mihai URSĂCHESCU,,Rs1
32.,"Strada BLĂNARI
 Strada BĂCANI","3
 3 - 5",3,1883,S+P+Mz+2E+Ma,28,3.005,1993,Stelian PICULESCU,,Rs1
33.,Strada BLĂNARI,8,3,1884,S+P+2E+Ma,0,338,1993,Armand NEFIAN,,Rs1
34.,Strada BLĂNARI,10,3,1875,S+P+2E,1,764,2012,Mihai URSĂCHESCU,,Rs1
35.,Strada BLĂNARI,11,3,1947,S+P+8E,14,2.380,1994,Dan STANCIULESCU,,Rs1
36.,Strada BLĂNARI,13,3,1900,S+P+2E+Pod,2,528,2015,Anatolie CAZACLIU,,Rs1
37.,"Strada BLĂNARI
 („CLUB A”, „GODOT CAFÉ –TEATRU”; 3 corpuri principale
 + 1 corp secundar)",14,3,1934 - 1937,S=P++4E+1E retars S+P=1E,40,2.645,2018,Ioan Mihai PAUL,"Reîncadrare în clasă de risc seismic în anul 2018
 (Înițial imobilul a fost încadrat iniţial în RsI de expertul tehnic atestat M.D.R.A.P. Mircea CONDRUŢ, ulterior a fost reîncadrat în anul 2016 – pentru o perioadă de 2 ani – de expertul tehnic dl. Ing. Ioan Mihai PAUL în RsII
 până la finalizarea lucrărilor de consolidare)",Rs1
38.,Strada BOCŞA,3,2,1932,P+5E,25,2.875,1995,Marin TEODOR,,Rs1
39.,Strada BOTEANU,3A - 3B,1,"1935
 1936","S+P+8E+Ma
 S+P+7E",90,10.593,1995,"Alexandrina PRETORIAN
 Dan GHIOCEL. Iorgu NICULA",,Rs1
40.,Strada BRAZILIA,56,1,1930,S+P+1E+Ma,5,810,1993,Armand NEFIAN,,Rs1
41.,Strada BUZEŞTI,32A,1,1930,S+P+3E,1,434,1994,Horia DUGAN,,Rs1
42.,Strada BUZEŞTI,48,1,,S+P+2E,3,896,2007,Vladimir AMBROZIE,Încadrare în clasă de risc seismic în anul 2007,Rs1
43.,Strada C. A. ROSETTI,27,2,1900,S+P+2E,4,735,1993,Ion LUNGU,,Rs1
44.,Strada C. A. ROSETTI,42,2,1927,S+P+3E,8,780,1993,Adina SIMION,,Rs1
45.,Strada C. A. ROSETTI,43,2,1933,S+P+5E+Ma,8,780,2007,Dragoş BADEA,,Rs1
46.,Strada C. A. ROSETTI,43A,2,1933,S+P+4E,11,790,1994,Adina SIMION,,Rs1
47.,Strada CAIMATEI,18,2,1936,P+5E,13,2.073,1998,Rodica VASILESCU,,Rs1
48.,Strada CAMELIEI,3,1,1900,S+P+1E,4,145,1993,Constantin ARIENESCU,,Rs1
49.,Strada CAMELIEI,4,1,1900,S+P+1E,4,114,1993,Constantin ARIENESCU,,Rs1
50.,Strada CAMELIEI,7,1,1900,S+P+1E+Ma,5,242,1993,Constantin ARIENESCU,,Rs1
51.,Strada CAMELIEI,30,1,1925,S+P+1E,7,466,1993,Mircea CONDRUT,,Rs1
52.,Bulevardul CAROL I,27,2,1910,S+P+2E+Ma,3,755,1993,Ion LUNGU,,Rs1
53.,Bulevardul CAROL I,47,2,1934,P+8E,23,2.784,1993,Niculae TUDOSE,,Rs1
54.,Bulevardul CAROL I,51,2,1929,S+Ds+P+7E,30,5.105,2001,Grigore ARSENIE,,Rs1
55.,Bulevardul CAROL I,63,2,1937,S+P+5E+Ma,18,1.769,1993,Niculae TUDOSE,,Rs1
56.,Bulevardul CAROL I,76,2,1939,P+8E,18,3.230,1994,Dan POPESCU,,Rs1
